TIME;IPSRC;IPDST;FLAGS;SEQ;ACK;WIN;OPTIONS;LENGTH
11:42:04.766656;BP-Linux8.ssh;192.168.190.130.50019:;[P.],;2243505564:2243505672,;1972915080,;312,;[nop,nop,TS;108

11:42:04.766694;BP-Linux8.ssh;192.168.190.130.50019:;[P.],;108:144,;1,;312,;[nop,nop,TS;36

11:42:04.766723;BP-Linux8.ssh;192.168.190.130.50019:;[P.],;144:252,;1,;312,;[nop,nop,TS;108

11:42:04.766744;BP-Linux8.ssh;192.168.190.130.50019:;[P.],;252:288,;1,;312,;[nop,nop,TS;36

11:42:04.785366;192.168.190.130.50019;BP-Linux8.ssh:;[.],;Vide;108,;7319,;[nop,nop,TS;0

11:42:04.785384;192.168.190.130.50019;BP-Linux8.ssh:;[.],;Vide;144,;7318,;[nop,nop,TS;0

11:42:04.785406;192.168.190.130.50019;BP-Linux8.ssh:;[.],;Vide;252,;7316,;[nop,nop,TS;0

11:42:04.785454;192.168.190.130.50019;BP-Linux8.ssh:;[.],;Vide;288,;7320,;[nop,nop,TS;0

11:42:05.768334;BP-Linux8.58466;ns1.lan.rt.domain:;Vide;Vide;Vide;Vide;Vide;Vide
11:42:05.769075;ns1.lan.rt.domain;BP-Linux8.58466:;Vide;Vide;Vide;Vide;Vide;Vide
11:42:06.669393;192.168.190.130.50245;BP-Linux8.ssh:;[P.],;1601828178:1601828214,;1851233244,;2048,;[nop,nop,TS;36

11:42:06.669906;BP-Linux8.ssh;192.168.190.130.50245:;[P.],;1:37,;36,;291,;[nop,nop,TS;36

11:42:06.679262;BP-Linux8.53220;ns1.lan.rt.domain:;Vide;Vide;Vide;Vide;Vide;Vide
11:42:06.679971;ns1.lan.rt.domain;BP-Linux8.53220:;Vide;Vide;Vide;Vide;Vide;Vide
11:42:06.681188;BP-Linux8.ssh;192.168.190.130.50245:;[P.],;37:153,;36,;291,;[nop,nop,TS;116

11:42:06.681222;BP-Linux8.ssh;192.168.190.130.50245:;[P.],;153:189,;36,;291,;[nop,nop,TS;36

11:42:06.681248;190-0-175-100.gba.solunet.com.ar.2465;184.107.43.74.http:;[S],;326991629:326991749,;Vide;512,;Vide;120:
11:42:06.681274;190-0-175-100.gba.solunet.com.ar.2466;184.107.43.74.http:;[S],;920517760:920517880,;Vide;512,;Vide;120:
11:42:06.681294;190-0-175-100.gba.solunet.com.ar.2467;184.107.43.74.http:;[S],;556803824:556803944,;Vide;512,;Vide;120:
11:42:06.681312;190-0-175-100.gba.solunet.com.ar.2468;184.107.43.74.http:;[S],;1921632185:1921632305,;Vide;512,;Vide;120:
11:42:06.681328;190-0-175-100.gba.solunet.com.ar.2469;184.107.43.74.http:;[S],;1170972654:1170972774,;Vide;512,;Vide;120:
11:42:06.681345;190-0-175-100.gba.solunet.com.ar.2470;184.107.43.74.http:;[S],;754504426:754504546,;Vide;512,;Vide;120:
11:42:06.681362;190-0-175-100.gba.solunet.com.ar.2471;184.107.43.74.http:;[S],;669863147:669863267,;Vide;512,;Vide;120:
11:42:06.681379;190-0-175-100.gba.solunet.com.ar.2472;184.107.43.74.http:;[S],;1036593434:1036593554,;Vide;512,;Vide;120:
11:42:06.681396;190-0-175-100.gba.solunet.com.ar.2473;184.107.43.74.http:;[S],;473640609:473640729,;Vide;512,;Vide;120:
11:42:06.681413;190-0-175-100.gba.solunet.com.ar.2474;184.107.43.74.http:;[S],;294639309:294639429,;Vide;512,;Vide;120:
11:42:06.681430;190-0-175-100.gba.solunet.com.ar.2475;184.107.43.74.http:;[S],;2003734750:2003734870,;Vide;512,;Vide;120:
